token,docIds
chorus,[1]
voices,[1]
asked,[1 2 3 4 5]
_she_,[1 4]
pointing,[1 4]
calling,[1 3 4]
confused,[1 2 4]
despair,[1 2 4]
pulled,[1 2 3 5]
comfits,[1]
luckily,[1 4]
handed,[1 4]
exactly,[1 2 3 4]
piece,[1 2 4 5]
prize,[1 2]
gravely,[1 4]
thimble,[1]
presented,[1 2 3 4]
acceptance,[1 4]
elegant,[1 4]
short,[1 2 3 4 5]
speech,[1 2 3 4]
cheered,[1 2 3]
absurd,[1 3 4 5]
grave,[1 2 3 4]
dare,[1 2 3 4]
laugh,[1 2 4 5]
